grinder tool, -441.77, -214.48, 534.24
portafilter, -399.59, -55.10, 534.02
cup tool, -358.13, 102.68, 532.67
ball, 370.66, -321.55, 66.86
tamper, 559.0, 68.77, 156.07

robot, 0, 0, 0
silvia2robot, -366.20, -389.80, 341.38, -577.06, -446.46, 341.38
grinder2robot, 482.29, -433.74, 314.13, 370.66, -321.55, 66.86
globalgrinder, -0.380234670143933, 0.924890045151603, 0, 482.29, -0.924890045151603, -0.380234670143933, 0, -433.74, 0, 0, 1.0000, 314.13, 0, 0, 0, 1

cup2robot, 1.49, -600.54, -20.0
tools2robot, -554.57, -80.15, 19.05
scraper2robot, 599.13, 0.0, 211.07, 599.0, 68.77, 156.07
tool2tcp, 0, 0, 0